Location,Station,Date,Time,Temperature_F,DewPoint_F,Humidity_Percentage,Wind,WindSpeed_mph,WindGust_mph,Pressure_in,Precipitation_in,Condition,Data Collection Source
"San Francisco, CA",San Francisco International Airport Station,7/5/21,4:56 PM,69 °F,53 °F,57 %,W,18 mph,0 mph,29.97 in,0.0 in,Fair,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/5/21,5:56 PM,67 °F,54 °F,63 %,W,17 mph,0 mph,29.97 in,0.0 in,Fair,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/5/21,6:40 PM,65 °F,53 °F,65 %,W,17 mph,0 mph,29.98 in,0.0 in,Mostly Cloudy,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/5/21,6:56 PM,64 °F,53 °F,67 %,W,17 mph,0 mph,29.98 in,0.0 in,Mostly Cloudy,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/5/21,7:56 PM,62 °F,53 °F,72 %,W,14 mph,0 mph,29.99 in,0.0 in,Mostly Cloudy,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/5/21,8:56 PM,62 °F,53 °F,72 %,WSW,16 mph,0 mph,29.99 in,0.0 in,Mostly Cloudy,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/5/21,9:56 PM,61 °F,53 °F,75 %,W,9 mph,0 mph,30.00 in,0.0 in,Mostly Cloudy,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/5/21,10:03 PM,61 °F,53 °F,75 %,W,12 mph,0 mph,30.00 in,0.0 in,Mostly Cloudy,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/5/21,10:56 PM,61 °F,53 °F,75 %,WSW,9 mph,0 mph,30.01 in,0.0 in,Mostly Cloudy,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/5/21,10:57 PM,61 °F,53 °F,75 %,WSW,9 mph,0 mph,30.01 in,0.0 in,Partly Cloudy,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/5/21,11:49 PM,61 °F,53 °F,75 %,WSW,7 mph,0 mph,30.00 in,0.0 in,Mostly Cloudy,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/5/21,11:56 PM,61 °F,53 °F,75 %,WSW,13 mph,0 mph,30.00 in,0.0 in,Mostly Cloudy,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/6/21,12:27 AM,61 °F,53 °F,75 %,WSW,8 mph,0 mph,30.00 in,0.0 in,Partly Cloudy,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/6/21,12:56 AM,61 °F,53 °F,75 %,WSW,7 mph,0 mph,30.00 in,0.0 in,Mostly Cloudy,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/6/21,1:23 AM,60 °F,53 °F,78 %,WNW,12 mph,0 mph,30.00 in,0.0 in,Mostly Cloudy,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/6/21,1:56 AM,60 °F,53 °F,78 %,W,10 mph,0 mph,30.00 in,0.0 in,Mostly Cloudy,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/6/21,2:03 AM,60 °F,52 °F,75 %,W,13 mph,0 mph,30.00 in,0.0 in,Mostly Cloudy,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/6/21,2:56 AM,59 °F,52 °F,78 %,W,15 mph,0 mph,30.00 in,0.0 in,Mostly Cloudy,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/6/21,3:56 AM,59 °F,53 °F,81 %,WSW,8 mph,0 mph,30.00 in,0.0 in,Mostly Cloudy,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/6/21,4:56 AM,60 °F,53 °F,78 %,W,13 mph,0 mph,30.00 in,0.0 in,Mostly Cloudy,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/6/21,5:56 AM,60 °F,53 °F,78 %,W,13 mph,0 mph,30.01 in,0.0 in,Mostly Cloudy,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/6/21,6:56 AM,59 °F,53 °F,81 %,W,14 mph,0 mph,30.02 in,0.0 in,Cloudy,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/6/21,7:56 AM,60 °F,54 °F,80 %,W,10 mph,0 mph,30.03 in,0.0 in,Cloudy,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/6/21,8:56 AM,61 °F,53 °F,75 %,W,13 mph,0 mph,30.04 in,0.0 in,Cloudy,Weather Underground
